Nama,Jawatan_dalam_Kabinet,Tempat_Duduk,Parlimen,Kawasan,Negeri,No_Telefon,No_Faks,Email,Alamat_Surat-menyurat,Gambar,vol,Parti,Jawatan_dalam_Parlimen,Hubungi
YB Dato Henry Sum Agong,,D-39,P222,Lawas,Sarawak,085-284748,085-262519,lawasparlimen@gmail.com,"Pejabat Ahli Parlimen P.222, Lawas,Lot 635, Tingkat 2, Jalan Hospital Lawas, P.O.Box 273, 98857 Lawas, Sarawak.",/images/webuser/ahli/2022/P222.jpg,15.0,GPS,FB : Dato Henry Sum Agong  IG : henrysumagongofficial,
YB Datuk Matbali bin Musah,,C-20,P178,Sipitang,Sabah,-,-,matbalihjmusah@gmail.com,"Pusat Khidmat Rakyat Parlimen P.178 Sipitang, Blok K,Lot 5,Tingkat 1 & 2,Bandar Mingo,89808 Beaufort, Sabah",/images/webuser/ahli/2022/P178.jpg,15.0,GRS,FB : //www.facebook.com/matbalibinmusah  IG : //instagram.com/matbalimusah,
YB Datuk Jonathan bin Yasin,,C-19,P179,Ranau,Sabah,-,-,jonathanyasin@yahoo.com,"Peti Surat 387, 89308 Ranau, Sabah",/images/webuser/ahli/2022/P179.png,15.0,GRS,,
YB Datuk Seri Panglima Dr. Jeffrey G. Kitingan,,D-32,P180,Keningau,Sabah,087-336167,087-336167,j.kitingan55@gmail.com,"Lot 19, Tingkat 1, Bandar Baru Keningau, 89007, Keningau, Sabah.",/images/webuser/ahli/2022/P180.png,15.0,GRS,FB : //www.facebook.com/jeffreykitingan  IG : //www.instagram.com/jeffreykitinganofficial,
YB Tuan Lo Su Fui,,C-44,P190,Tawau,Sabah,-,-,losufui@gmail.com,"TB.16298-16300, Tingkat Bawah, Bandar Perdana Jaya, Jalan Chong Thien Vun, Off Jalan Apas, 91000 Tawau, Sabah.",/images/webuser/ahli/2022/P190.jpg,15.0,GRS,,
YB Puan Isnaraissah Munirah bt Majilis@Fakharudy,,D-26,P169,Kota Belud,Sabah,088-973991,-,parlimen169@gmail.com,"Pusat Khidmat Rakyat Parlimen Kota Belud, Lot 19, Tingkat 1, Blok C, Kompleks Alapbana, 89158 Kota Belud, Sabah",/images/webuser/ahli/2022/P169.png,15.0,WARISAN,FB : Isnaraissah Munirah Majilis  Twitter : //twitter.com/munirahmajilis  IG : //www.instagram.com/munirahmajilis/,
YB Datuk Seri Panglima Haji Mohd Shafie bin Apdal,,D-4,P189,Semporna,Sabah,-,-,shafieapdal@yahoo.com,"Pejabat Parti Warisan, Lot. 8, Aras Satu BSA, Jalan Kolombong, 88450 Kota Kinabalu, Sabah",/images/webuser/ahli/2022/P189.png,15.0,WARISAN,FB : Shafie Apdal  Twitter : //twitter.com/mohdshafieapdal  IG : //www.instagram.com/shafieapdalofficial/,
YB Datuk Wetrom bin Bahanda,,D-60,P168,Kota Marudu,Sabah,088-661685,,wetrom70@yahoo.com,"Lot 578, H.No 5, Lorong Raja Udang 12, Taman Kingfisher 11, 88450 Kota Kinabalu, Sabah",/images/webuser/ahli/2022/P168.jpg,15.0,KDM,,
YB Datuk Larry Soon @ Larry Sng Wei Shien,,D-23,P209,Julau,Sarawak,084-734087,-,larrysng6688@yahoo.co.uk,"Lot 210, 2nd Floor 3, Julau Bazaar,96600 Julau, Sarawak",/images/webuser/ahli/2022/P209.jpg,15.0,PBM,,
YB Tuan Zahari bin Kechik,,E-51,P030,Jeli,Kelantan,09-9470136,-,pejahliparlimenjeli@gmail.com,"Pusat Khidmat Rakyat Ahli Parlimen Jeli, Lot 2510 Bangunan Putra Jeli, 17500 Bukit Nangka, Tanah Merah, Kelantan",/images/webuser/ahli/2022/P030.jpg,15.0,,FB : Zahari Pok Jeli  Twitter : Zahari Kechik  IG : zahari_kechik,
YB Tuan Mohd Azizi bin Abu Naim,,E-50,P032,Gua Musang,Kelantan,09-9123422,-,KBBersatu.gm@gmail.com,"Lot 12422, Tingkat 2, Bangunan Kedai Taman Kesedar Putra 2 Jalan Darussalam, 18300 Gua Musang, Kelantan",/images/webuser/ahli/2022/P032.jpg,15.0,,FB : Mohd Aziz Abu Naim  Twitter : azzienaim22  IG : @azizienaim,
YB Dato' Syed Abu Hussin bin Hafiz Syed Abdul Fasal,,E-48,P059,Bukit Gantang,Perak,05-8472525,-,sy_hussin@yahoo.com,"Pusat Khidmat P059 Ahli Parlimen Bukit Gantang,No.13, Jalan Simpang Jaya 2, Taman Simpang Jaya, 34700 Simpang, Perak.",/images/webuser/ahli/2022/P059.jpg,15.0,,,
YB Datuk Iskandar Dzulkarnain bin Abdul Khalid,,E-47,P067,Kuala Kangsar,Perak,-,03-74935912,iskandar47@gmail.com,"Suite 8,15.1, Menara One Mont Kiara, No. 1, Jalan Kiara,50480 Kuala Lumpur.",/images/webuser/ahli/2022/P067.jpg,15.0,,FB : @KandoForKuale  IG : @iskandardzulkarnain76,
YB Dato' Dr. Zulkafperi bin Hanapi,,E-49,P095,Tanjong Karang,Selangor,03-77271977,03-77273277,drzulkafperi@gmail.com,"B-3-21, Pelangi Square Damansara, PJU 6, Persiaran Surian, 47800, Petaling Jaya, Selangor",/images/webuser/ahli/2022/P095.jpg,15.0,,FB : /DATODRZULKAFPERI  IG : /KAPTDATODRZUL HANAPI,
YB Dato' Indera Dr. Suhaili bin Abdul Rahman,,E-52,P166,Labuan,Labuan,087-586688,087-586688,adr.p166.labuan@gmail.com,"Pejabat Pusat Khidmat Masyarakat, Ahli Parlimen P.166-Labuan, U0372, Tingkat 2, Jln Bunga Anggerik, 87000 WP. Labuan",/images/webuser/ahli/2022/P166.jpg,15.0,,FB : //www.facebook.com/suhaili.abdulrahman.1),
YB Tuan Rushdan bin Rusmi,,E-22,P001,Padang Besar,Perlis,019-5119002,-,padangbesar@rushdan.my,"Pusat Khidmat Ahli Parlimen Padang Besar,Batu 5 1/4, Jalan Kaki Bukit,02400 Beseri, Perlis.",/images/webuser/ahli/2022/P001.jpg,15.0,PN,FB : //www.facebook.com/rushdanrusmipage,
YB Tuan Zakri bin Hassan,,E-21,P002,Kangar,Perlis,04-9779392,04- 9777392,p002parlimen.kangar@gmail.com,"No. 3 & 4, Peti Surat 785, Batu 1 1/4, Jalan Raja Syed Saffi, 01000 Kangar, Perlis.",/images/webuser/ahli/2022/P002.jpg,15.0,PN,FB : //www.facebook.com/profile.pnp?id=100087388098227,
YB Dato' Seri Dr. Shahidan bin Kassim,,E-1,P003,Arau,Perlis,04-9860173,-,dsskoffice@gmail.com,"No.9, Jalan TBA 6, Taman Bersatu Arau, 02600 Arau, Perlis.",/images/webuser/ahli/2022/P003.jpg,15.0,PN,FB : Shahidan Kassim,
YB Dato' Haji Mohd Suhaimi bin Haji Abdullah,,E-6,P004,Langkawi,Kedah,03-23000163,03-23000291,suhaimi.langkawi15@gmail.com,"4-6, Jalan 28/70A, Desa Sri Hartamas, 50480 Kuala Lumpur.",/images/webuser/ahli/2022/P004.jpg,15.0,PN,FB : Suhaimi Abdullah DATO MOHD SUHAIMI ABDULLAH  Twitter : mohdsuhaimi77  IG : mohd.suhaimi.abdullah,
YB Dr. Haji Abd Ghani bin Ahmad,,E-19,P005,Jerlun,Kedah,,-,drghani5500@gmail.com,"46-A, Kampong Kelompang, KM13, Jalan Putera, Alor Janggus, 06250 Alor Setar, Kedah.",/images/webuser/ahli/2022/P005.jpg,15.0,PN,FB : Abd Ghani Ahmad dan DR ABD GHANI AHMAD,
YB Dato' Wira Dr. Ku Abd Rahman bin Ku Ismail,,G-19,P006,Kubang Pasu,Kedah,,-,kurahman.exco@gmail.com,"22, Lorong Suasana Permai 6, Suasana Permai, 06000 Bandar Darulaman, Jitra Kedah Darul Aman",/images/webuser/ahli/2022/P006.jpg,15.0,PN,FB : PakKuRahman,
YB Tuan Nurul Amin bin Hamid,,F-19,P007,Padang Terap,Kedah,04-7862243,-,padangterap07@gmail.com,"Pusat Khidmat Wakil Rakyat Padang Terap, No. KBA 13, Kg. Barokhas,06300 Kuala Nerang, Kedah",/images/webuser/ahli/2022/P007.jpg,15.0,PN,FB : //www.facebook.com./nurul.amin.52012  Twitter : @nurulaminhamid  IG : nurulaminhamid,
YB Dato' Haji Ahmad bin Saad @ Yahaya,,F-5,P008,Pokok Sena,Kedah,,-,ahmad6737@gmail.com,"No.36, Madrasah A-Taklimiah, Kg. Tok Keling, Mukim Derga,05400 Alor Setar, Kedah.",/images/webuser/ahli/2022/P008.jpg,15.0,PN,,
YB Tuan Afnan Hamimi bin Dato' Haji Taib Azamudden,,E-3,P009,Alor Setar,Kedah,,-,afnanhamimialorsetar@gmail.com,"Pusat Khidmat Ahli Parlimen Alor Setar, Pejabat PAS Kawasan Alor Setar, KM 12.5, Jalan Dato' Kumbar, 06500, Alor Setar, Kedah Darul Aman.",/images/webuser/ahli/2022/P009.jpg,15.0,PN,FB : //www.facebook.com/afnanhamimitaibazamudden  Twitter : @afnanhamimitaib  IG : afnanhamimi,
YB Dr. Ahmad Fakhruddin bin Fakhrurazi,,F-17,P010,Kuala Kedah,Kedah,,-,pkmpkualakedah@gmail.com,"D/A Pejabat PAS Kawasan Kuala Kedah, Kg. Kuala Sungai, Kubang Rotan,06250 Alor Setar, Kedah",/images/webuser/ahli/2022/P010.jpg,15.0,PN,,
YB Datuk Haji Awang bin Hashim,,G-12,P011,Pendang,Kedah,013-5338100,-,pkwrpendang@yahoo.com,"PKWR Parlimen Pendang, KM4, Jalan Sungai Tiang, Kampung Gajah Mati, 06700 Pendang, Kedah Darul Aman.",/images/webuser/ahli/2022/P011.jpg,15.0,PN,FB : //www.facebook.com/YBAwangHashim?mibextid=ZbWKwL  Twitter : //twitter.com/AwangHashim2?t=ESiAzm7YWJXn4IVTEjtu4A&s=09  IG : //instagram.com/h.awanghashim?igshid=NDk5N2NIZjQ=,
YB Tuan Sabri bin Azit,,E-7,P012,Jerai,Kedah,04-7416959,04-7414939,ustazsabriazit@gmail.com,"814B, Jalan Masjid Kg. Sg. Lentang, Mukim Dulang,06900 Yan, Kedah.",/images/webuser/ahli/2022/P012.jpg,15.0,PN,,
YB Tuan Ahmad Tarmizi bin Sulaiman,,G-16,P013,Sik,Kedah,04-4695356,-,Pkmparlimensik@gmail.com,"Pusat Khidmat Rakyat Ahli Parlimen Sik, Kampung Sungai Pau,08200 Sik, Kedah.",/images/webuser/ahli/2022/P013.jpg,15.0,PN,FB : //www.facebook.com/AhliParlimenSik,
YB Tuan Mohd Nazri bin Abu Hassan,,G-18,P014,Merbok,Kedah,,-,nzabuhassan.merbok@gmail.com,"PUSAT KHIDMAT PARLIMEN MERBOK, No.125, Tingkat 1, Jalan Melati 1/3B, Bandar Amanjaya, 08000 Sungai Petani, Kedah.",/images/webuser/ahli/2022/P014.jpg,15.0,PN,FB : Mohd Nazri Abu Hassan  IG : mohdnazri4merbok,
YB Tuan Hassan bin Saad,,G-25,P016,Baling,Kedah,,-,hassansaad570317@gmail.com,"Pejabat PAS Kawasan Baling, Kompleks PAS Baling, Lot 10754 Kupang, 09200 Baling, Kedah",/images/webuser/ahli/2022/P016.jpg,15.0,PN,,
YB Dato' Azman bin Nasrudin,,G-21,P017,Padang Serai,Kedah,04-4843414,-,azman.excokedah@gmail.com,"Pejabat Parlimen Padang Serai, Plot 28, No71A , Jalan Lagenda 2/1, Taman Lagenda 09400 Padang Serai, Kedah Darul Aman.",/images/webuser/ahli/2022/P017.jpg,15.0,PN,FB : //www.facebook.com/PN.Padang.Serai ii) https  IG : //www.instagram.com/cikguazman,
YB Tuan Roslan bin Hashim,,F-20,P018,Kulim Bandar Baharu,Kedah,-,-,parlimenkbb22@gmail.com,"Lot A, Kedai 2 1/2 Tingkat, Pekan Serdang, 09800 Serdang, Kedah Darul Aman",/images/webuser/ahli/2022/P018.jpg,15.0,PN,FB : Roslan Bin Hj Hashim,
YB Dato' Hajjah Mumtaz binti Md Nawi,,F-12,P019,Tumpat,Kelantan,-,-,pkptumpatp019@gmail.com,"Pusat Khidmat Parlimen Tumpat, Lot 26, Jalan Setia Utama, Bandar Bentara, 16200 Tumpat, Kelantan",/images/webuser/ahli/2022/P019.jpg,15.0,PN,FB : Mumtaz Md Nawi  Twitter : //bitly.ws/xrEa  IG : mumtazmdnawi P019 Tumpat,
YB Datuk Dr. Ahmad Marzuk bin Shaary,,F-7,P020,Pengkalan Chepa,Kelantan,09-7831000,09-7831000,marzuk313@gmail.com,"Pusat Khidmat Ahli Parlimen Pengkalan Chepa, Kompleks Purnama, Jalan Pengkalan Chepa,16100 Kelantan.",/images/webuser/ahli/2022/P020.png,15.0,PN,,
YB Datuk Seri Takiyuddin bin Hassan,,G-6,P021,Kota Bharu,Kelantan,09-7473688,09-7473688,adrp021kotabharu@gmail.com,"PUSAT KHIDMAT AHLI PARLIMEN KOTA BHARU, F8, LOT 473, SEKSYEN 14, 15200 KOTA BHARU, KELANTAN.",/images/webuser/ahli/2022/P021.png,15.0,PN,FB : Takiyuddin Haji Hassan  Twitter : takiyuddin61  IG : takiyuddin.hassan,
YB Tuan Haji Ahmad Fadhli bin Shaari,,G-17,P022,Pasir Mas,Kelantan,-,-,ahmadfadhlishaari80@gmail.com,"Lot 2848, Kg. Bechah Hilir, Tendong,17030 Pasir Mas, Kelantan",/images/webuser/ahli/2022/P022.jpg,15.0,PN,,
YB Dato' Siti Zailah binti Mohd Yusoff,,F-8,P023,Rantau Panjang,Kelantan,-,-,pusatkhidmatrp@gmail.com,"Pusat Khidmat Ahli Parlimen Rantau Panjang, KM-12, Lebuhraya Rantau Panjang-Pasir Mas, 17000 Pasir Mas, Kelantan Darul Naim",/images/webuser/ahli/2022/P023.jpg,15.0,PN,FB : //www.facebook.com/SitiZailahYusoff  Twitter : YB Zailah Official( Youtube Link)  IG : @sitizailahmohdyusoff,
YB Dato' Sri Tuan Ibharim bin Tuan Man,,G-4,P024,Kubang Kerian,Kelantan,09-7645481,09-7645481,tuanibrahimtuanman@gmail.com,"Pusat Khidmat Rakyat Ahli Parlimen Kubang Kerian, Lot 8018, Tingkat 1, Bandar Satelit Pasir Tumboh,16150 Kota Bharu, Kelantan.",/images/webuser/ahli/2022/P024.png,15.0,PN,FB : //www.facebook.com/ustaztitm  Twitter : //twitter.com/titm_official  IG : //instagram.com/titm_official,
YB Tuan Haji Mohd Syahir bin Che Sulaiman,,G-8,P025,Bachok,Kelantan,-,-,mpbachok@gmail.com,"Pusat Khidmat Ahli Parlimen Bachok, Kompleks Pendidikan Islam, Lot 3366, Batu 19, Jalan Tok Ayah Zin, Kg. Badak, 16300 Bachok, Kelantan.",/images/webuser/ahli/2022/P025.jpg,15.0,PN,FB : //www.facebook.com/syahirsulaiman.ss  Twitter : //twitter.com/syahirnomic  IG : //instagram.com/syahirnomic,
YB Dato' Khlir bin Mohd Nor,,F-10,P026,Ketereh,Kelantan,-,-,mjkhlir1038@gmail.com,"PT 789, Kg. Kubang Kiat, Ketereh,16450 Kota Bharu, Kelantan.",/images/webuser/ahli/2022/P026.jpg,15.0,PN,,
YB Dato' Sri Ikmal Hisham bin Abdul Aziz,,G-11,P027,Tanah Merah,Kelantan,03-42565344,-,ik.nobletwin@yahoo.com.my,"No.15-1, Jalan AU 1A/4B, Taman Keramat Permai, 54200 Kuala Lumpur.",/images/webuser/ahli/2022/P027.png,15.0,PN,,
YB Datuk Dr. Nik Muhammad Zawawi bin Salleh,,G-13,P028,Pasir Puteh,Kelantan,09-7855333,09-7855334,pasirputeh@pas.org.my,"Bangunan PAS Pasir Puteh Lot 331-332, Seksyen 1, Jalan Nara, 16800 Pasir Puteh, Kelantan",/images/webuser/ahli/2022/P028.jpg,15.0,PN,,
YB Tuan Wan Ahmad Fayhsal bin Wan Ahmad Kamal,,E-2,P029,Machang,Kelantan,-,-,parlimen@wanfayhsal.my,"Wisma PAS Machang,Jalan Pejabat, Taman Kemahkotaan,18500 Machang, Kelantan Darul Naim.",/images/webuser/ahli/2022/P029.jpg,15.0,PN,FB : Wan Ahmad Fayhsal  IG : @wanfayhsal,
YB Tuan Haji Abdul Latiff bin Abdul Rahman,,G-15,P031,Kuala Krai,Kelantan,09-9669696,,mpkualakrai@gmail.com,"Khidmat Komuniti Ustaz Abdul Latiff, Ahli Parlimen Kuala Krai, Jalan Besar Kuala Krai, Guchil 1, 18020 Kuala Krai, Kelantan",/images/webuser/ahli/2022/P031.jpg,15.0,PN,FB : Abdul Latiff Abdul Rahman  Twitter : abdullatiffpas  IG : Abdul Latiff Abdul Rahman,
YB Datuk Che Mohamad Zulkifly bin Jusoh,,F-11,P033,Besut,Terengganu,09-6943563,-,pkmp033@gmail.com,"LOT 60117, BELAKANG MASJID KG. LAK LOK, 22000, JERTEH, TERENGGANU",/images/webuser/ahli/2022/P033.jpg,15.0,PN,,
YB Tuan Shaharizukirnain bin Abd Kadir,,E-10,P034,Setiu,Terengganu,-,-,umminabihah69@gmail.com,"Lot 21335, Kg. Alur Jambu,21335, Batu Rakit,21020 Kuala Nerus, Terengganu",/images/webuser/ahli/2022/P034.jpg,15.0,PN,FB : //www.facebook.com/ustazshaharizukirnain/,
YB Dato' Dr. Hj. Alias bin Razak,,F-16,P035,Kuala Nerus,Terengganu,09-6227335,09-6227512,azmidr59@gmail.com,"MPKT 2114, Kg. Bukit Tok Ris, 21200 Kuala Terengganu, Terengganu Darul Iman.",/images/webuser/ahli/2022/P035.jpg,15.0,PN,,
YB Datuk Ahmad Amzad bin Mohamed @ Hashim,,G-14,P036,Kuala Terengganu,Terengganu,09-6284266,-,pejabatparlimenkt@gmail.com,"PT 1886 Tingkat Bawah, Rumah Kedai 2 Tingkat, Kubang Parit, 20050 Kuala Terengganu",/images/webuser/ahli/2022/P036.jpg,15.0,PN,FB : //www.facebook.com/HajiAmzadkualaTerengganu  Twitter : @hajiamzad  IG : datuk.amzad,
YB Tan Sri Dato' Seri Haji Abdul Hadi bin Awang,,G-3,P037,Marang,Terengganu,03-26925000,03-26938399,tansriabdulhadiawang@gmail.com,"Pejabat Agung PAS Pusat, No. 318-A, Jalan Raja Laut, 50350 Kuala Lumpur.",/images/webuser/ahli/2022/P037.png,15.0,PN,FB : //www.facebook.com/abdulhadiawang  Twitter : //twitter.com/abdulhadiawang  IG : //www.instagram.com/abdulhadi_awang/,
YB Dato' Rosol bin Wahid,,G-9,P038,Hulu Terengganu,Terengganu,09-6826877,-,d.rosolwahid@gmail.com,"PT 12467, Paya Dadeh, Kg. Bukit Tok Bat, 21700 Kuala Berang, Terengganu",/images/webuser/ahli/2022/P038.png,15.0,PN,FB : fb.me/RosolWahid  Twitter : rosolwahid11/twitter.com  IG : rosol_wahid?utm_medium=copy_link,
YB Tuan Haji Wan Hassan bin Mohd Ramli,,E-5,P039,Dungun,Terengganu,09-8445677 / 09-8485001,-,Mpdgn039@gmail.com,"Pejabat PKM Parlimen Dungun, Lot 3671, Tingkat 1, Kampung Pak Sabah, 23000 Dungun, Terengganu",/images/webuser/ahli/2022/P039.jpg,15.0,PN,FB : //www.facebook.com/WanHassanMohdRamli  Twitter : //www.twitter.com/ustazwanhassan  IG : //instagram.com/ustazwanhassanofficial,
YAB Dato' Seri Ir. Dr. Ahmad Samsuri bin Mokhtar,,F-3,P040,Kemaman,Terengganu,09-6231957,09-6233612,drsam.mp@gmail.com,"Pejabat Menteri Besar Terengganu, Tingkat 16, Wisma Darul Iman, 20502, Kuala Terengganu, Terengganu",/images/webuser/ahli/2023/YB Samsuri.png,15.0,PN,FB : //www.facebook.com/DrAhmadSamsuri  Twitter : //twitter.com/DrAhmadSamsuri  IG : //www.instagram.com/drahmadsamsuri,
YB Dr. Siti Mastura binti Muhammad,,E-17,P041,Kepala Batas,Pulau Pinang,011-53405188,-,drmaskepalabatas@gmail.com,"No 23 , Tingkat 1 , Seksyen 4/3 , Bandar Putra Bertam 13200 Kepala Batas , Pulau Pinang.",/images/webuser/ahli/2022/P041.jpg,15.0,PN,FB : Dr Ustazah Mastura  Twitter : Siti Mastura Muhammad  IG : drustazahmastura,
YB Datuk Wan Saifulruddin bin Wan Jan,,F-9,P042,Tasek Gelugor,Pulau Pinang,04-5711252,04-5711252,wansaiful@gmail.com,"Pusat Khidmat Ahli Parlimen Tasek Gelugor, 46-2, Jalan Sena Jaya, Taman Sena Jaya,13200 Pulau Pinang.",/images/webuser/ahli/2022/P042.jpg,15.0,PN,FB : www.facebook.com/wansaifulwj  Twitter : @wansaiful,
YB Tuan Haji Muhammad Fawwaz bin Mohamad Jan,,G-20,P044,Permatang Pauh,Pulau Pinang,-,-,pkwrpermatangpauh@gmail.com,"1270, Mukim 5, Kubang Semang, 14400 Bukit Mertajam Pulau Pinang",/images/webuser/ahli/2022/P044.jpg,15.0,PN,,
YB Tuan Fathul Huzir bin Ayob,,F-18,P054,Gerik,Perak,-,-,Fathulhuzir.ayob@gmail.com,"No.39A, Jalan Tekoma 1, Pusat Perniagaan Batu Dua, 33300 Gerik, Perak",/images/webuser/ahli/2022/P054.jpg,15.0,PN,FB : Fathul Huzir Ayob  Twitter : @Huzir17  IG : uzeymourinho,
YB Dato' Seri Hamzah bin Zainudin,,G-1,P056,Larut,Perak,03-64119277,-,ahliparlimenlarut@gmail.com,"No. 15, Jalan Langgak Tunku, Taman Tunku, 50480 Kuala Lumpur",/images/webuser/ahli/2022/P056.png,15.0,PN,,
YB Tuan Haji Mohd Misbahul Munir bin Masduki,,F-13,P057,Parit Buntar,Perak,-,-,mpparitbuntar@gmail.com,"Pusat Khidmat Masyarakat Parlimen Parit Buntar, 10, Jalan Wawasan 4, Taman Wawasan Jaya, 34200 Parit Buntar, Perak",/images/webuser/ahli/2022/P057.jpg,15.0,PN,FB : Misbah Munir,
YB Datuk Idris bin Ahmad,,F-1,P058,Bagan Serai,Perak,05-7214586,-,idrissahmad@gmail.com,"No.102(Tingkat Atas) Bangunan PKNP, Jalan Besar,34300 Bagan Serai, Perak.",/images/webuser/ahli/2022/P058.jpg,15.0,PN,FB : //www.facebook.com/ustazidrisahmad  Twitter : //twitter.com/ustaz_idris  IG : //instagram.com/ustaz.idrisahmad,
YB Kapten Azahari bin Hasan,,E-18,P061,Padang Rengas,Perak,-,-,parlimenp061@gmail.com,"No.6, Persiaran Rengas Jaya, Taman Rengas Jaya, 33700 Padang Rengas, Perak.",/images/webuser/ahli/2022/P061.jpg,15.0,PN,FB : Kapten Azahari  IG : captaza1010,
YB Tuan Haji Muhammad Ismi bin Mat Taib,,E-29,P069,Parit,Perak,-,-,ustazismiP069@gmail.com,"D/A, Darul Murtabak Travel dan Tours, No.17, Persiaran Side 2, 32610 Bandar Seri Iskandar, Perak",/images/webuser/ahli/2022/P069.jpg,15.0,PN,FB : ustaz ismi  Twitter : ustaz ismi  IG : ustaz ismi,
YB Tuan Haji Jamaludin bin Yahya,,E-32,P073,Pasir Salak,Perak,-,-,jamaludinjalud@gmail.com,"No.69, Lorong Murni 4, Taman Murni, 36800 Kampung Gajah, Perak",/images/webuser/ahli/2022/P073.jpg,15.0,PN,,
YB Komander Nordin bin Ahmad Ismail TLDM(Bersara),,E-28,P074,Lumut,Perak,-,-,ltkdr.nordin@gmail.com,"NO 44, TAMAN INDAH RAYA 2, 32200 LUMUT, PERAK",/images/webuser/ahli/2022/P074.jpeg,15.0,PN,FB : www.facebook.com/BERSATU. BAHAGIAN LUMUT.  IG : @ahmadismailnordin,
YB Ir. Ts. Hj. Khairil Nizam bin Khirudin,,G-23,P081,Jerantut,Pahang,014-5492558,-,IrKhairilP.081Jerantut@gmail.com,"PUSAT KHIDMAT MASYARAKAT PARLIMEN JERANTUT, NO.21, LORONG TEMIN UTAMA 1, TAMAN TEMIN UTAMA, 27000 JERANTUT, PAHANG.",/images/webuser/ahli/2022/P081.jpg,15.0,PN,,
YB Dato' Sri Saifuddin bin Abdullah,,F-4,P082,Indera Mahkota,Pahang,-,-,saifuddin61@yahoo.com,"21, Jalan Pinggiran Putra 2/1A, Desa Pinggiran Putra, 43000 Kajang, Selangor",/images/webuser/ahli/2022/P082.png,15.0,PN,,
YB Tuan Wan Razali bin Wan Nor,,E-31,P083,Kuantan,Pahang,09-5341534,09-5341535,wrazali.nor@gmail.com,"B1308, Tingkat 1, Jalan Tanjung Lumpur, 26060 Kuantan, Pahang",/images/webuser/ahli/2022/P083.jpg,15.0,PN,FB : //www.facebook.com/WRWNor  Twitter : //twitter.com/WanRazali81  IG : //instagram.com/wrazali_8183,
YB Dato' Sri Dr. Haji Ismail bin Abd. Muttalib,,E-4,P086,Maran,Pahang,09-4771219,09-4774831,ppapmaran086@gmail.com,"Pusat Perkhidmatan Ahli Parlimen Maran, No. 88, Bangunan LKNP, Jalan Masjid, 26500 Maran, Pahang.",/images/webuser/ahli/2022/P086.jpg,15.0,PN,FB : Ismail Abd Muttalib  Twitter : DSIsmail AbdMuttalib  IG : ismailabdmuttalib,
YB Tuan Kamal bin Ashaari,,E-11,P087,Kuala Krau,Pahang,-,-,ustazkamal1970@gmail.com,"No.27, Tingkat Atas, Lorong Baiduri 1, 26400 Bandar Tun Abdul Razak Jengka.",/images/webuser/ahli/2022/P087.jpg,15.0,PN,FB : //www.facebook.com/UstazKamalAshaari?mibextid=LQQJ4d,
YB Puan Hajah Salamiah binti Mohd Nor,,E-27,P088,Temerloh,Pahang,-,-,pkmmptemerloh@gmail.com,"SG 6, Sungai Gau, Batu 5, Jalan Maran, 28000 Temerloh, Pahang.",/images/webuser/ahli/2022/P088.jpg,15.0,PN,FB : www.facebook.com/CikguSalamiah  Twitter : www.twitter.com/CikguSalamiah  IG : //instagram.com/cikgusalamiahmohdnor,
YB Dato' Abdul Khalib bin Abdullah,,E-20,P091,Rompin,Pahang,09-4502599,-,khalib.5050@gmail.com,"22-1, Jalan Makmur 1, Presint Niaga, Bandar Satelite, 26700 Muadzam Shah, Pahang",/images/webuser/ahli/2022/P091.jpg,15.0,PN,,
YB Tuan Kalam bin Salan,,E-30,P092,Sabak Bernam,Selangor,03-32248422,-,riamansor@gmail.com,"G-07 Aras Bawah Arked MARA, 45300 Sungai Besar, Selangor",/images/webuser/ahli/2022/P092.jpg,15.0,PN,FB : Kalam Carl Lam,
YB Datuk Muslimin bin Yahaya,,F-6,P093,Sungai Besar,Selangor,-,-,muslimin.P093@gmail.com,"Pusat Khidmat Rakyat Parlimen Sungai Besar, No.20, Tingkat Atas, Jalan Gemilang 1, Taman Gemilang, 45300 Sungai Besar,Selangor Darul Ehsan.",/images/webuser/ahli/2022/P093.png,15.0,PN,FB : //www.facebook.com/muslimin.binyahaya,
YB Tuan Haji Mohd Hasnizan bin Harun,,G-22,P094,Hulu Selangor,Selangor,-,-,hasnizur@gmail.com,"No. 37-1, Jalan Adenium 1A, Seksyen BB5, Bukit Beruntung, 48300 Rawang, Selangor.",/images/webuser/ahli/2022/P094.jpg,15.0,PN,FB : HASNIZAN HARUN,
YB Dr. Hajah Halimah Ali,,E-9,P109,Kapar,Selangor,03-33723919,03-33723923,drhaliamhhaliq@gmail.com/ drhalimahmpkapar@gmail.com,"No.2, Lorong Teluk Gadong 1, Off Jalan Sungai Bertek, Taman Emas, 41250 Klang, Selangor",/images/webuser/ahli/2022/P109.jpg,15.0,PN,FB : //www.facebook.com/drhalimahAlipage  Twitter : //www.twitter.com/drhalimahAli  IG : //www.instagram.com/drhalimahAli,
YB Dato' Dr. Ahmad Yunus bin Hairi,,F-14,P112,Kuala Langat,Selangor,03-31228649,,ahmadyunushairi@yahoo.com,"Pusat Khidmat Masyarakat,No.1, Tingkat Atas, Jalan Wira 2, Taman Perwira, Telok Panglima Garang, 42500 Selangor",/images/webuser/ahli/2022/P112.jpg,15.0,PN,FB : www.facebook.com/Dr.AhmadYunusHairi,
